Soort,Doelsoort,Status,Gebied (jaartal vroegste waarneming)
Faxonius limosus,beekprik,In gebied, Abeek (2023);  De Aa (2012);  Desselse Neet (2020);  Dommel (2022);  Grote Nete (2011);  Heiloop - Neerhoefloop (2024);  Horstgaterbeek (2024);  Itterbeek (2024);  Kleine Nete (2012);  Larumse Loop (2025);  Meirenloop (2024);  Molenbeek (2025);  Molenbeek Zijarm (2016);  Molenheideloop (2020);  Netekanaal (2024);  Oude Lossing (2010);  Zwalmbeek (2017)
Faxonius limosus,beekprik,< 100m, Klein Beek (2016);  Laambeek (2017);  Lossing (2024);  Munsterbeek (2017);  Oude Beek (2014);  Witbeek (2020)
Faxonius limosus,beekprik,< 1000m, Achterste Neet (2018);  Albertkanaal (2017);  Asbeek (2024);  Bosbeek (2014);  Colateur (2023);  Goorneetje (2011);  Gravenweidebeek (2012);  Groenstraatbeek (2025);  Hanskeselsloop (2018);  Hermeandering Grote Nete Belsbroek (2024);  Kanaal naar Beverlo (2024);  Kanaal van Bocholt naar Herentals (2018);  Kapittelbeek (2025);  Katersbergenloop (2025);  Kleine Hoofdgracht (2024);  Kwachtloop (2023);  Langkeukelbeek (2019);  Leenskuilderloop (2014);  Leigracht (2012);  Losbeek (2023);  Maas (2013);  Mosselgorenloop (2025);  Oude Mark (2020);  Rilroheidebeek (2015);  Schillebeeklokte (2020);  Tappelbeek (2016);  Vaanbuikbeek (2022);  Voorste Neet (2018);  Warmbeek (2014);  Wijze Beek (2020);  Ziepbeek (2019);  Zwarte Neet (2020)
Faxonius limosus,boomkikker,In gebied,Abeek (2010); De Maten (2015); Maasvallei - Maaswinkel (2019); Vijvergebied Midden-Limburg - Bolderberg/Wijvenheide Noord (2016); Vijvergebied Midden-Limburg - Platwijers/Wijvenheide Zuid (2017)
Faxonius limosus,boomkikker,< 1000m,Bergerven (2025); Jeker/Demer - Dauteweyers (2013); Maasvallei - Dilsem-Stokkem (2025)
Faxonius limosus,grote modderkruiper,In gebied,"Berlare Broek (2017); De Assels (2024); De Goort (2024); De Maten (2015); De Zegge (2024); Het Goorken (2013); Kaaimeersen (2023); Kalkense Meersen (2018); Kapellemeersen/Wellemeersen (2023); Kloosterbeemden (2025); Lokkerse Dammen (2013); Malesbroek (2011); Mechels broek (2012); Platweyers (2016); Polder van Lier (2024); Retische Watering (2011); Schulensmeer (2018); Schupleer-Vuilvoort (2012); Sint Maartensheide De Luysen, Luysen-Mariahof (2010); Smeetshof (2024); Steenbeemden-Treydbeemd (2024); Vallei van de Abeek (2023); Webbekomsbroek (2021); Winkelsbroek de Dongen (2019)"
Faxonius limosus,grote modderkruiper,< 100m,Doode Bemde (2025); Latemse meersen en Keuzemeersen (2024); Lossing Kinrooi (2024); Mosselgoren (2025); Stamprooierbroek (2010); Viersels Gebroekt (2016); Wamp in Het Goorken (2013)
Faxonius limosus,grote modderkruiper,< 1000m,Bourgoyen-Ossemeersen (2024); De Rode Del (2013); De Zig (2024); Doodbroek (2016); Dorpsbemden-Dauteweyers (2013); Gentbrugse Meersen (2024); Langemeersen (2025); Molsbroek (2019); Schipstalbroek (2024); Verbinding Hooyput Retische Watering (2011); Zeverenbeekvallei (2022)
Faxonius limosus,heikikker,In gebied,Arendonk (2020); Buitengoor (2022); De Liereman (2013); De Maten (2015); Hageven (2022); Smeetshof (2024); Terlaemen/Weyerman/Wijvenheide /Platwijers/Kolberg (2016); Tielenheide (2019)
Faxonius limosus,heikikker,< 100m,Ekstergoor - Kievitsheide (2010); Grote Heide (2024)
